Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"25,665.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"25,623.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"25,487.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"25,482.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"25,276.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"25,098.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"25,098.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"25,098.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,"25,032.63",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"24,702.04",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,"24,677.69",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,"24,519.50",Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"24,443.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"24,088.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"23,466.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"23,354.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"23,331.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"23,247.48",
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"23,174.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"23,114.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"23,056.24",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,"22,970.90",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,"22,835.39",Self Delivery
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"22,806.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"22,794.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"22,742.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"22,657.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"22,600.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"22,385.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"22,214.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"22,131.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"22,100.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"22,005.33",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,"21,932.82",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,"21,717.95",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Catering,"21,506.26",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"21,274.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"20,978.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"20,734.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"20,642.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Security,"20,619.30",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"20,533.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,"20,525.67",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"20,409.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"20,252.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,"19,980.86",Self Delivery
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"19,963.25",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"19,862.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Security,"19,679.06",Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,"49,346.59",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"19,158.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"19,084.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Security,"18,828.35",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"18,702.14",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"18,685.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"17,977.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"17,894.23",Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,"17,677.77",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"17,473.14",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"17,421.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,"17,262.63",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,"17,228.18",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"17,149.77",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"17,107.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"17,057.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"17,001.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,"16,983.15",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Cleaning,"16,684.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"16,608.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"16,606.13",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"16,543.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"16,324.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"16,209.62",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance","16,175.35",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Catering,"16,106.33",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,"16,006.87",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"15,995.41",Subcontract
Singapore,Jurong,"1.364434,103.775263",Projects,"15,528.36",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"15,421.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"15,345.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"15,102.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"15,069.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"14,951.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,"14,950.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,"14,855.00",Self Delivery
India,Baddi,"30.957826,76.791356",M&E Equipment,"14,830.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"14,784.11",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"14,716.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Building Fabric,"14,658.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Business Continuity & DR,"14,639.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"14,604.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,"14,482.72",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836","Meetings, Communications, Events","14,417.07",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Fire and Security Equipment,"14,349.73",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,"14,332.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,"14,302.74",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"14,229.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,"13,986.99",Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,"13,937.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"13,860.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,"13,686.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Fire and Security Equipment,"13,674.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,"13,529.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,"13,517.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Business Continuity & DR,"13,425.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,"13,340.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,"13,325.52",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,"13,246.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,"13,244.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",Fleet Management,"13,180.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Fire and Security Equipment,"13,147.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"13,143.72",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,"13,053.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,"12,948.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,"12,816.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"12,767.76",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,"12,717.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"12,649.00",Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,"12,508.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Business Continuity & DR,"12,481.00",Self Delivery
India,Baddi,"30.957826,76.791356",M&E Equipment,"12,427.63",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Fleet Management,"12,293.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fire and Security Equipment,"12,208.00",Subcontract
India,Baddi,"30.957826,76.791356",Fire and Security Equipment,"12,180.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"89,297.80",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Fleet Management,"12,109.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,"12,076.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,"11,979.33",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Fleet Management,"11,972.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Security,"11,928.10",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,"11,894.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"11,825.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Business Continuity & DR,"11,824.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,"11,625.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Cleaning,"11,611.78",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"11,599.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,"11,589.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Business Continuity & DR,"11,582.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,"11,553.67",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,"11,530.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,"11,522.00",Subcontract
Singapore,Jurong,"1.364434,103.775263","E, H, S & Q, compliance","11,505.97",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,"12,572.34",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"11,485.45",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"11,485.45",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,"11,485.45",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,"11,475.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,"11,460.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"11,416.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,"11,305.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Business Continuity & DR,"11,205.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,"11,093.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"11,091.15",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"11,083.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,"10,970.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,"10,911.18",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,"10,906.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"10,845.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Business Continuity & DR,"10,797.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"10,758.57",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"10,733.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,"10,709.67",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"10,687.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"10,612.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Fleet Management,"10,570.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"10,528.33",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"10,495.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"10,495.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Fleet Management,"10,430.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,"10,282.37",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Fleet Management,"10,272.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"10,234.72",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Fire and Security Equipment,"10,218.22",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,"10,214.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fleet Management,"10,023.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,"10,001.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,"9,916.16",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"9,902.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386","E, H, S & Q, compliance","9,845.67",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",Fleet Management,"9,813.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Fleet Management,"9,644.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Grounds Maintenance,"9,535.16",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"9,427.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"9,414.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,"9,372.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"9,319.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"9,286.64",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,"9,256.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"9,251.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"9,128.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,"9,118.30",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Fleet Management,"9,043.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,"8,973.97",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"8,900.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"8,577.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,"8,541.00",Self Delivery
India,Baddi,"30.957826,76.791356",Cleaning,"8,507.91",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"8,434.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Business Continuity & DR,"8,375.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"8,281.01",Subcontract
India,Mumbai EC,"19.030029,72.861308",Business Continuity & DR,"8,244.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,"8,170.00",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"8,084.21",Subcontract
India,Baddi,"30.957826,76.791356",FM management & administration,"8,061.59",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Fire and Security Equipment,"8,017.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Fleet Management,"7,993.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Catering,"7,947.93",Subcontract
India,Baddi,"30.957826,76.791356",Fleet Management,"7,832.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Fire and Security Equipment,"7,695.25",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"7,692.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"7,688.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Mail Room & Reception,"84,621.27",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Catering,"7,609.15",Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,"7,594.88",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"7,473.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,"7,357.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"7,354.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Business Continuity & DR,"7,309.00",Self Delivery
India,Baddi,"30.957826,76.791356",Building Fabric,"7,294.00",Self Delivery
Singapore,Jurong,"1.364434,103.775263",Cleaning,"7,244.01",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Fire and Security Equipment,"7,222.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"7,203.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Mail Room & Reception,"6,987.48",Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"6,960.37",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,"6,918.00",Self Delivery
Australia,Ringwood,"-37.814262,145.227386","E, H, S & Q, compliance","6,845.33",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Building Fabric,"141,392.19",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,"6,650.51",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Cleaning,"6,642.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"6,573.00",Subcontract
India,Baddi,"30.957826,76.791356",Catering,"6,554.73",Subcontract
Australia,Claremont,"-31.981633,115.781288",Cleaning,"6,548.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"6,529.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Cleaning,"6,460.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"6,261.14",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Grounds Maintenance,"6,238.23",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Fleet Management,"6,199.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Building Fabric,"6,198.00",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Business Continuity & DR,"6,190.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Business Continuity & DR,"6,056.00",Self Delivery
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"6,038.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"6,030.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Fleet Management,"6,020.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Fire and Security Equipment,"5,980.76",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"5,830.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"5,745.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,"5,742.73",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"5,734.82",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"5,728.37",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,"5,721.10",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328","E, H, S & Q, compliance","5,692.30",Self Delivery
New Zealand,Avondale,"-36.894517,174.696524",Security,"5,640.05",Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,"5,615.76",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"5,518.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,"5,283.31",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Building Fabric,"5,218.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Fire and Security Equipment,"5,212.48",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"5,076.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,"5,066.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,"4,801.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,"4,785.60",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,"4,779.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332","E, H, S & Q, compliance","4,767.58",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"4,754.48",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"4,702.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,"4,615.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"4,509.76",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,"4,505.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"4,425.76",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,"4,414.83",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Security,"4,326.19",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Business Continuity & DR,"4,273.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,"4,240.00",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,"4,210.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,"4,124.00",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Cleaning,"4,035.04",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Fire and Security Equipment,"3,989.83",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,"3,954.76",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,"3,909.00",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Security,"3,854.67",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"3,847.63",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Fire and Security Equipment,"3,828.48",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"3,825.54",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Security,"3,647.72",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"3,552.83",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,"3,547.00",Self Delivery
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"3,469.95",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"3,460.57",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Fire and Security Equipment,"3,356.38",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Projects,"3,345.29",Self Delivery
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,"3,339.75",Self Delivery
India,Mumbai EC,"19.030029,72.861308",Building Fabric,"3,329.00",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"3,279.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Catering,"3,254.21",Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,"3,203.35",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Security,"3,147.16",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Grounds Maintenance,"3,146.60",Self Delivery
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,"3,086.49",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Catering,"2,972.86",Subcontract
India,Baddi,"30.957826,76.791356",Catering,"2,945.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,"2,897.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,"2,864.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Catering,"2,843.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Catering,"2,803.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Catering,"2,794.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Catering,"2,788.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Catering,"2,778.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Catering,"2,767.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"2,755.11",Subcontract
Singapore,Jurong,"1.364434,103.775263",Building Fabric,"2,704.00",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,"2,670.00",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,"2,666.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Catering,"2,625.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,"2,617.00",Self Delivery
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,"2,615.00",Self Delivery
Australia,Dandenong VDC,"-37.98746,145.214861",Catering,"2,612.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Catering,"2,609.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,"2,603.37",Self Delivery
