Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType,expenseSubGroup
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,32282,Subcontract,1349 Mechanical Systems Maint
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,32246,Subcontract,1180 Compressed Air System
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,32219,Subcontract,1303 Building Chiller Maint
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,32190,Subcontract,1305 Bldg R/M-CntrlSys Maint
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,31881,Subcontract,1600 Maint-Plumbing
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,31748,Self Delivery,1390 Water Treatment Services
Australia,South Wharf,"-37.824997,144.951999",Cleaning,31607,Subcontract,0401 Cleaning Supplies & Mats
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,31603,Subcontract,0310 Other Specialized Clng
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,31505,Subcontract,1302 Building R/M-Boiler Maint
Australia,Ringwood,"-37.814262,145.227386",Cleaning,31502,Subcontract,0310 Other Specialized Clng
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,31404,Subcontract,1310 Central Plant Maintenance
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,31395,Subcontract,1315 Refrigerator Sys Maint
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,31342,Subcontract,1440 Communications Sys Maint
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,31286,Subcontract,1802 Interior - Signage
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,31172,Self Delivery,1500 Maint-Strct/Roof
New Zealand,Dunedin,"-45.87876,170.502798",Catering,30909,Subcontract,8024 Catering - Hospitality
New Zealand,Dunedin,"-45.87876,170.502798",Fire and Security Equipment,30834,Subcontract,1700 Maint Fire/Life Safety
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,30780,Self Delivery,1804 Interior - Plants
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,30712,Subcontract,1906 Appliance Maint&Testing
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,30135,Subcontract,1305 Bldg R/M-CntrlSys Maint
Singapore,Jurong,"1.364434,103.775263",FM management & administration,30061,Self Delivery,5700 Other Admin Expenses
India,Baddi,"30.957826,76.791356",M&E Equipment,29971,Subcontract,1400 Bldg R/M-Electrical Maint
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,29939,Subcontract,1400 Bldg R/M-Electrical Maint
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,29709,Subcontract,8133 Maintenance Mgt System
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance",29632,Self Delivery,8218 Health and Safety Srvcs
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,29598,Subcontract,1303 Building Chiller Maint
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,29440,Subcontract,1349 Mechanical Systems Maint
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,29263,Subcontract,1180 Compressed Air System
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,28963,Subcontract,0506 Trash Removal-Confidntl
Thailand,Lad Krabang,"13.722049,100.784157",Fire and Security Equipment,28882,Subcontract,1700 Maint Fire/Life Safety
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,28820,Subcontract,1349 Mechanical Systems Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,28556,Subcontract,1300 Building R/M-HVAC Maint
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,28487,Subcontract,0307 High Tech Cleaning
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,28364,Subcontract,1305 Bldg R/M-CntrlSys Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,28256,Subcontract,1310 Central Plant Maintenance
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,28180,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,276992,Subcontract,1302 Building R/M-Boiler Maint
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,27691,Subcontract,0310 Other Specialized Clng
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,27689,Subcontract,1315 Refrigerator Sys Maint
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,27656,Subcontract,1300 Building R/M-HVAC Maint
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,27626,Self Delivery,1850 Ext-Building Repair&Maint
Australia,South Wharf,"-37.824997,144.951999",Cleaning,27423,Subcontract,0307 High Tech Cleaning
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,26712,Subcontract,1802 Interior - Signage
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,26698,Subcontract,0201 Cleaning (Interior)
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,26451,Subcontract,1180 Compressed Air System
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,26382,Subcontract,1315 Refrigerator Sys Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,26295,Subcontract,1180 Compressed Air System
India,Mumbai EC,"19.030029,72.861308",Cleaning,26248,Subcontract,0310 Other Specialized Clng
Singapore,Jurong,"1.364434,103.775263",Cleaning,26248,Subcontract,0506 Trash Removal-Confidntl
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,26248,Subcontract,0311 External Area Cleaning
India,Baddi,"30.957826,76.791356",M&E Equipment,26237,Subcontract,1301 Ventilation System Maint
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,26182,Subcontract,1302 Building R/M-Boiler Maint
India,Mumbai EC,"19.030029,72.861308",Cleaning,25995,Subcontract,0302 Carpet Cleaning
Singapore,Jurong,"1.364434,103.775263",Cleaning,25995,Subcontract,0310 Other Specialized Clng
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,25995,Subcontract,0502 Trash Removal - Recycling
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,25858,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,25833,Subcontract,1906 Appliance Maint&Testing
India,Baddi,"30.957826,76.791356",Building Fabric,25686,Self Delivery,1390 Water Treatment Services
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,25680,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,25665,Subcontract,1305 Bldg R/M-CntrlSys Maint
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,25623,Subcontract,1301 Ventilation System Maint
India,Mumbai EC,"19.030029,72.861308",Cleaning,25487,Subcontract,0301 Window Cleaning
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,25482,Subcontract,1431 UPS System Maintenance
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,25276,Subcontract,1802 Interior - Signage
Singapore,Jurong,"1.364434,103.775263",Cleaning,25098,Subcontract,0311 External Area Cleaning
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,25098,Subcontract,0401 Cleaning Supplies & Mats
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,25098,Subcontract,0502 Trash Removal - Recycling
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,25033,Self Delivery,1850 Ext-Building Repair&Maint
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,24702,Subcontract,1801 Interior - Pest Control
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,24678,Subcontract,8024 Catering - Hospitality
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,24520,Self Delivery,8238 Courier Services
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,24443,Subcontract,1431 UPS System Maintenance
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,24088,Subcontract,0301 Window Cleaning
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,23466,Subcontract,1302 Building R/M-Boiler Maint
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,23354,Subcontract,1310 Central Plant Maintenance
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,23331,Subcontract,1310 Central Plant Maintenance
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,23247,,1801 Interior - Pest Control
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,23174,Subcontract,0310 Other Specialized Clng
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,23114,Subcontract,1431 UPS System Maintenance
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,23056,Subcontract,1300 Building R/M-HVAC Maint
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,22971,Self Delivery,1500 Maint-Strct/Roof
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,22835,Self Delivery,1201 Goods Elevator Maint
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,22806,Subcontract,1802 Interior - Signage
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,22794,Subcontract,1306 Lighting Cntrl Sys Maint
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,22742,Subcontract,1431 UPS System Maintenance
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,22657,Subcontract,1440 Communications Sys Maint
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,22600,Subcontract,1440 Communications Sys Maint
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,22385,Subcontract,1400 Bldg R/M-Electrical Maint
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,22214,Subcontract,1301 Ventilation System Maint
India,Baddi,"30.957826,76.791356",M&E Equipment,22131,Subcontract,8133 Maintenance Mgt System
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,22100,Subcontract,1306 Lighting Cntrl Sys Maint
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,22005,Subcontract,1303 Building Chiller Maint
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,21933,Self Delivery,1800 Int-Bldg Repair&Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,21718,Subcontract,8221 Print/Paper Supply
Thailand,Lad Krabang,"13.722049,100.784157",Catering,21506,Subcontract,8021 Canteen / Restaurant
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,21274,Subcontract,1802 Interior - Signage
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,20978,Subcontract,1440 Communications Sys Maint
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,20734,Subcontract,1303 Building Chiller Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,20642,Subcontract,1431 UPS System Maintenance
New Zealand,Dunedin,"-45.87876,170.502798",Security,20619,Subcontract,4200 Security - Guards
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,20533,Subcontract,1349 Mechanical Systems Maint
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,20526,Self Delivery,1201 Goods Elevator Maint
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,20409,Subcontract,1431 UPS System Maintenance
India,Baddi,"30.957826,76.791356",M&E Equipment,20252,Subcontract,1305 Bldg R/M-CntrlSys Maint
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,19981,Self Delivery,1100 Building Maint Services
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,19963,Subcontract,1303 Building Chiller Maint
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,19862,Subcontract,1303 Building Chiller Maint
New Zealand,Dunedin,"-45.87876,170.502798",Security,19679,Subcontract,4100 Secty-Fence&Barriers
Singapore,Jurong,"1.364434,103.775263",Building Fabric,49347,Self Delivery,1100 Building Maint Services
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,19158,Subcontract,1180 Compressed Air System
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,19084,Subcontract,8133 Maintenance Mgt System
Australia,Port Melbourne,"-37.836926,144.94455",Security,18828,Subcontract,4410 Secty-Eqpt CCTV Maint
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,18702,Subcontract,1349 Mechanical Systems Maint
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,18685,Subcontract,1431 UPS System Maintenance
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,17977,Subcontract,1315 Refrigerator Sys Maint
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,17894,Subcontract,1301 Ventilation System Maint
Singapore,Jurong,"1.364434,103.775263",Building Fabric,17678,Self Delivery,1500 Maint-Strct/Roof
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,17473,Subcontract,1802 Interior - Signage
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,17421,Subcontract,1315 Refrigerator Sys Maint
Australia,Scoresby,"-37.898567,145.230362",Grounds Maintenance,17263,Self Delivery,3100 Road/Ground-Landscaping
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,17228,Self Delivery,1850 Ext-Building Repair&Maint
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,17150,Subcontract,1310 Central Plant Maintenance
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,17107,Subcontract,1310 Central Plant Maintenance
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,17057,Subcontract,1349 Mechanical Systems Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,17001,Subcontract,8133 Maintenance Mgt System
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,16983,Self Delivery,1800 Int-Bldg Repair&Maint
Australia,Claremont,"-31.981633,115.781288",Cleaning,16684,Subcontract,0502 Trash Removal - Recycling
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,16608,Subcontract,1349 Mechanical Systems Maint
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,16606,Subcontract,1310 Central Plant Maintenance
India,Baddi,"30.957826,76.791356",Cleaning,16543,Subcontract,0310 Other Specialized Clng
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,16324,Subcontract,1315 Refrigerator Sys Maint
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,16210,Subcontract,1906 Appliance Maint&Testing
Thailand,Lad Krabang,"13.722049,100.784157","E, H, S & Q, compliance",16175,Self Delivery,8218 Health and Safety Srvcs
Thailand,Lad Krabang,"13.722049,100.784157",Catering,16106,Subcontract,8024 Catering - Hospitality
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,16007,Self Delivery,1201 Goods Elevator Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,15995,Subcontract,1310 Central Plant Maintenance
Singapore,Jurong,"1.364434,103.775263",Projects,15528,Self Delivery,8005 Project Mngmnt Services
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,15421,Subcontract,0301 Window Cleaning
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,15345,Subcontract,8133 Maintenance Mgt System
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,15102,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,15069,Subcontract,8133 Maintenance Mgt System
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,14951,Subcontract,8133 Maintenance Mgt System
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,14950,Self Delivery,1200 Bldg R/M-Elev/Escltr Mnt
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,14855,Self Delivery,1850 Ext-Building Repair&Maint
India,Baddi,"30.957826,76.791356",M&E Equipment,14830,Subcontract,1906 Appliance Maint&Testing
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,14784,Subcontract,1305 Bldg R/M-CntrlSys Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,14716,Subcontract,1301 Ventilation System Maint
India,Mumbai EC,"19.030029,72.861308",Building Fabric,14658,Self Delivery,1390 Water Treatment Services
Thailand,Lad Krabang,"13.722049,100.784157",Business Continuity & DR,14639,Self Delivery,9001 Business Continuity & DR
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,14604,Subcontract,1906 Appliance Maint&Testing
Singapore,Jurong,"1.364434,103.775263",Building Fabric,14483,Self Delivery,1390 Water Treatment Services
Singapore,Keppel Bay Towers,"1.352083,103.819836","Meetings, Communications, Events",14417,Self Delivery,8260 Conference Rooms
Australia,Port Melbourne,"-37.836926,144.94455",Fire and Security Equipment,14350,Subcontract,1700 Maint Fire/Life Safety
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,14332,Self Delivery,1500 Maint-Strct/Roof
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,14303,Self Delivery,1100 Building Maint Services
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,14229,Subcontract,1300 Building R/M-HVAC Maint
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,13987,Subcontract,1700 Maint Fire/Life Safety
India,Baddi,"30.957826,76.791356",Building Fabric,13937,Self Delivery,1850 Ext-Building Repair&Maint
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,13860,Subcontract,1310 Central Plant Maintenance
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,13686,Subcontract,1700 Maint Fire/Life Safety
New Zealand,Auckland DC,"-36.84846,174.763332",Fire and Security Equipment,13674,Subcontract,4405 Secty-Intruder Alarm Sys
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,13529,Self Delivery,1500 Maint-Strct/Roof
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,13517,Self Delivery,1390 Water Treatment Services
New Zealand,Auckland DC,"-36.84846,174.763332",Business Continuity & DR,13425,Self Delivery,9001 Business Continuity & DR
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,13340,Self Delivery,1500 Maint-Strct/Roof
Australia,Port Melbourne,"-37.836926,144.94455",Grounds Maintenance,13326,Self Delivery,3100 Road/Ground-Landscaping
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,13246,Self Delivery,1390 Water Treatment Services
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,13244,Self Delivery,1390 Water Treatment Services
Australia,Scoresby,"-37.898567,145.230362",Fleet Management,13180,Subcontract,5970 Fleet Management
Australia,State Sales Offices,"-37.814107,144.96328",Fire and Security Equipment,13147,Subcontract,4405 Secty-Intruder Alarm Sys
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,13144,Subcontract,1300 Building R/M-HVAC Maint
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,13053,Self Delivery,1850 Ext-Building Repair&Maint
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,12948,Self Delivery,1500 Maint-Strct/Roof
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,12816,Self Delivery,1100 Building Maint Services
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,12768,Subcontract,1302 Building R/M-Boiler Maint
Australia,South Wharf,"-37.824997,144.951999",Building Fabric,12717,Self Delivery,1201 Goods Elevator Maint
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,12649,Subcontract,0311 External Area Cleaning
India,Baddi,"30.957826,76.791356",Building Fabric,12508,Self Delivery,1500 Maint-Strct/Roof
Singapore,Keppel Bay Towers,"1.352083,103.819836",Business Continuity & DR,12481,Self Delivery,9001 Business Continuity & DR
India,Baddi,"30.957826,76.791356",M&E Equipment,12428,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,South Wharf,"-37.824997,144.951999",Fleet Management,12293,Subcontract,5970 Fleet Management
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fire and Security Equipment,12208,Subcontract,4405 Secty-Intruder Alarm Sys
India,Baddi,"30.957826,76.791356",Fire and Security Equipment,12180,Subcontract,4405 Secty-Intruder Alarm Sys
India,Baddi,"30.957826,76.791356",M&E Equipment,89298,Subcontract,1300 Building R/M-HVAC Maint
New Zealand,Avondale,"-36.894517,174.696524",Fleet Management,12109,Subcontract,5970 Fleet Management
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,12076,Self Delivery,1850 Ext-Building Repair&Maint
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,11979,Self Delivery,1100 Building Maint Services
New Zealand,Auckland DC,"-36.84846,174.763332",Fleet Management,11972,Subcontract,5970 Fleet Management
Australia,South Wharf,"-37.824997,144.951999",Security,11928,Subcontract,4203 Secty-Lock & Key Controls
New Zealand,Auckland DC,"-36.84846,174.763332",Building Fabric,11894,Self Delivery,1200 Bldg R/M-Elev/Escltr Mnt
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,11825,Subcontract,0401 Cleaning Supplies & Mats
Australia,State Sales Offices,"-37.814107,144.96328",Business Continuity & DR,11824,Self Delivery,9001 Business Continuity & DR
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,11625,Self Delivery,1200 Bldg R/M-Elev/Escltr Mnt
Singapore,Jurong,"1.364434,103.775263",Cleaning,11612,Subcontract,0500 Trash Removal
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,11599,Subcontract,1349 Mechanical Systems Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,11589,Self Delivery,1201 Goods Elevator Maint
Singapore,Jurong,"1.364434,103.775263",Business Continuity & DR,11582,Self Delivery,9001 Business Continuity & DR
Australia,State Sales Offices,"-37.814107,144.96328",Building Fabric,11554,Self Delivery,1390 Water Treatment Services
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,11530,Self Delivery,1800 Int-Bldg Repair&Maint
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,11522,Subcontract,1700 Maint Fire/Life Safety
Singapore,Jurong,"1.364434,103.775263","E, H, S & Q, compliance",11506,Self Delivery,8215 Env Health and Safety
India,Mumbai EC,"19.030029,72.861308",Building Fabric,12572,Self Delivery,1100 Building Maint Services
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,11485,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,11485,Subcontract,1600 Maint-Plumbing
Australia,South Wharf,"-37.824997,144.951999",Grounds Maintenance,11485,Self Delivery,3100 Road/Ground-Landscaping
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,11475,Self Delivery,1200 Bldg R/M-Elev/Escltr Mnt
India,Mumbai EC,"19.030029,72.861308",Fire and Security Equipment,11460,Subcontract,4405 Secty-Intruder Alarm Sys
Australia,South Wharf,"-37.824997,144.951999",Cleaning,11416,Subcontract,0311 External Area Cleaning
Singapore,Jurong,"1.364434,103.775263",Fire and Security Equipment,11305,Subcontract,4405 Secty-Intruder Alarm Sys
Australia,Port Melbourne,"-37.836926,144.94455",Business Continuity & DR,11205,Self Delivery,9001 Business Continuity & DR
India,Mumbai EC,"19.030029,72.861308",Building Fabric,11093,Self Delivery,1200 Bldg R/M-Elev/Escltr Mnt
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,11091,Subcontract,0502 Trash Removal - Recycling
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,11083,Subcontract,1301 Ventilation System Maint
New Zealand,Avondale,"-36.894517,174.696524",Fire and Security Equipment,10970,Subcontract,4405 Secty-Intruder Alarm Sys
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,10911,Self Delivery,3500 Roads
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,10906,Self Delivery,1500 Maint-Strct/Roof
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,10845,Subcontract,1431 UPS System Maintenance
Australia,Ringwood,"-37.814262,145.227386",Business Continuity & DR,10797,Self Delivery,9001 Business Continuity & DR
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,10759,Subcontract,0404 Laundry Services
Australia,Claremont,"-31.981633,115.781288",Cleaning,10733,Subcontract,0506 Trash Removal-Confidntl
Singapore,Keppel Bay Towers,"1.352083,103.819836",Catering,10710,Subcontract,8021 Canteen / Restaurant
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,10687,Subcontract,8133 Maintenance Mgt System
Australia,Claremont,"-31.981633,115.781288",Cleaning,10612,Subcontract,0310 Other Specialized Clng
Australia,Dandenong VDC,"-37.98746,145.214861",Fleet Management,10570,Subcontract,5970 Fleet Management
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,10528,Subcontract,1400 Bldg R/M-Electrical Maint
Singapore,Jurong,"1.364434,103.775263",Cleaning,10495,Subcontract,0302 Carpet Cleaning
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,10495,Subcontract,0500 Trash Removal
Thailand,Lad Krabang,"13.722049,100.784157",Fleet Management,10430,Subcontract,5970 Fleet Management
Singapore,Jurong,"1.364434,103.775263",Grounds Maintenance,10282,Self Delivery,3100 Road/Ground-Landscaping
India,Mumbai EC,"19.030029,72.861308",Fleet Management,10272,Subcontract,5970 Fleet Management
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,10235,Subcontract,1400 Bldg R/M-Electrical Maint
Australia,South Wharf,"-37.824997,144.951999",Fire and Security Equipment,10218,Subcontract,4405 Secty-Intruder Alarm Sys
New Zealand,Avondale,"-36.894517,174.696524",Building Fabric,10214,Self Delivery,1390 Water Treatment Services
Singapore,Keppel Bay Towers,"1.352083,103.819836",Fleet Management,10023,Subcontract,5970 Fleet Management
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,10001,Self Delivery,1500 Maint-Strct/Roof
Singapore,Keppel Bay Towers,"1.352083,103.819836",Reprographics & Stationery,9916,Subcontract,8222 Central Reprographics
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,9902,Subcontract,1906 Appliance Maint&Testing
Australia,Ringwood,"-37.814262,145.227386","E, H, S & Q, compliance",9846,Self Delivery,8215 Env Health and Safety
Australia,Ringwood,"-37.814262,145.227386",Fleet Management,9813,Subcontract,5970 Fleet Management
Singapore,Jurong,"1.364434,103.775263",Fleet Management,9644,Subcontract,5970 Fleet Management
New Zealand,Avondale,"-36.894517,174.696524",Grounds Maintenance,9535,Self Delivery,3100 Road/Ground-Landscaping
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,9427,Subcontract,1600 Maint-Plumbing
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,9414,Subcontract,1310 Central Plant Maintenance
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,9372,Subcontract,4405 Secty-Intruder Alarm Sys
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,9319,Subcontract,1906 Appliance Maint&Testing
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,9287,Subcontract,1300 Building R/M-HVAC Maint
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,9256,Self Delivery,1200 Bldg R/M-Elev/Escltr Mnt
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,9251,Subcontract,1440 Communications Sys Maint
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,9128,Subcontract,1180 Compressed Air System
Australia,Claremont,"-31.981633,115.781288",Grounds Maintenance,9118,Self Delivery,3400 Roads/Grounds - Other
Australia,Port Melbourne,"-37.836926,144.94455",Fleet Management,9043,Subcontract,5970 Fleet Management
Australia,Dandenong VDC,"-37.98746,145.214861",Building Fabric,8974,Self Delivery,1800 Int-Bldg Repair&Maint
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,8900,Subcontract,0302 Carpet Cleaning
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,8577,Subcontract,1315 Refrigerator Sys Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,8541,Self Delivery,1800 Int-Bldg Repair&Maint
